"","province","sex","as.factor(age)","employed","bornin_canada","edu","n"
"1","Alberta","Female","18 to 29",0,0,0,2
"2","Alberta","Female","18 to 29",0,0,1,5
"3","Alberta","Female","18 to 29",0,1,0,12
"4","Alberta","Female","18 to 29",0,1,1,7
"5","Alberta","Female","18 to 29",1,0,0,3
"6","Alberta","Female","18 to 29",1,0,1,14
"7","Alberta","Female","18 to 29",1,1,0,28
"8","Alberta","Female","18 to 29",1,1,1,30
"9","Alberta","Female","18 to 29",1,NA,1,1
"10","Alberta","Female","30 to 44",0,0,0,11
"11","Alberta","Female","30 to 44",0,0,1,12
"12","Alberta","Female","30 to 44",0,1,0,22
"13","Alberta","Female","30 to 44",0,1,1,39
"14","Alberta","Female","30 to 44",0,NA,0,1
"15","Alberta","Female","30 to 44",1,0,0,7
"16","Alberta","Female","30 to 44",1,0,1,35
"17","Alberta","Female","30 to 44",1,1,0,37
"18","Alberta","Female","30 to 44",1,1,1,90
"19","Alberta","Female","30 to 44",1,NA,1,1
"20","Alberta","Female","30 to 44",NA,1,1,1
"21","Alberta","Female","45 to 59",0,0,0,5
"22","Alberta","Female","45 to 59",0,0,1,7
"23","Alberta","Female","45 to 59",0,1,0,25
"24","Alberta","Female","45 to 59",0,1,1,40
"25","Alberta","Female","45 to 59",1,0,0,7
"26","Alberta","Female","45 to 59",1,0,1,33
"27","Alberta","Female","45 to 59",1,1,0,40
"28","Alberta","Female","45 to 59",1,1,1,66
"29","Alberta","Female","60 to 74",0,0,0,14
"30","Alberta","Female","60 to 74",0,0,1,13
"31","Alberta","Female","60 to 74",0,1,0,42
"32","Alberta","Female","60 to 74",0,1,1,64
"33","Alberta","Female","60 to 74",1,0,0,7
"34","Alberta","Female","60 to 74",1,0,1,8
"35","Alberta","Female","60 to 74",1,1,0,26
"36","Alberta","Female","60 to 74",1,1,1,27
"37","Alberta","Female","75 and above",0,0,0,9
"38","Alberta","Female","75 and above",0,0,1,8
"39","Alberta","Female","75 and above",0,1,0,29
"40","Alberta","Female","75 and above",0,1,1,23
"41","Alberta","Female","75 and above",1,0,0,1
"42","Alberta","Female","75 and above",1,1,0,2
"43","Alberta","Female","75 and above",1,1,1,1
"44","Alberta","Female","NA",0,0,0,4
"45","Alberta","Female","NA",0,0,1,2
"46","Alberta","Female","NA",0,1,0,17
"47","Alberta","Female","NA",0,1,1,10
"48","Alberta","Female","NA",0,NA,1,1
"49","Alberta","Female","NA",1,0,1,8
"50","Alberta","Female","NA",1,1,0,9
"51","Alberta","Female","NA",1,1,1,14
"52","Alberta","Male","18 to 29",0,0,0,4
"53","Alberta","Male","18 to 29",0,0,1,1
"54","Alberta","Male","18 to 29",0,1,0,20
"55","Alberta","Male","18 to 29",0,1,1,5
"56","Alberta","Male","18 to 29",1,0,0,2
"57","Alberta","Male","18 to 29",1,0,1,5
"58","Alberta","Male","18 to 29",1,1,0,44
"59","Alberta","Male","18 to 29",1,1,1,25
"60","Alberta","Male","30 to 44",0,0,0,4
"61","Alberta","Male","30 to 44",0,0,1,4
"62","Alberta","Male","30 to 44",0,1,0,17
"63","Alberta","Male","30 to 44",0,1,1,13
"64","Alberta","Male","30 to 44",1,0,0,9
"65","Alberta","Male","30 to 44",1,0,1,37
"66","Alberta","Male","30 to 44",1,1,0,49
"67","Alberta","Male","30 to 44",1,1,1,82
"68","Alberta","Male","30 to 44",1,NA,1,1
"69","Alberta","Male","30 to 44",NA,0,0,1
"70","Alberta","Male","45 to 59",0,0,0,3
"71","Alberta","Male","45 to 59",0,0,1,4
"72","Alberta","Male","45 to 59",0,1,0,27
"73","Alberta","Male","45 to 59",0,1,1,19
"74","Alberta","Male","45 to 59",1,0,0,11
"75","Alberta","Male","45 to 59",1,0,1,20
"76","Alberta","Male","45 to 59",1,1,0,72
"77","Alberta","Male","45 to 59",1,1,1,44
"78","Alberta","Male","60 to 74",0,0,0,8
"79","Alberta","Male","60 to 74",0,0,1,9
"80","Alberta","Male","60 to 74",0,1,0,50
"81","Alberta","Male","60 to 74",0,1,1,32
"82","Alberta","Male","60 to 74",1,0,0,3
"83","Alberta","Male","60 to 74",1,0,1,12
"84","Alberta","Male","60 to 74",1,1,0,24
