"","sex","edu","employed","bornin_canada","province","votechoice","income","age"
"1","Female",1,NA,NA,"Quebec","NA","NA","NA"
"2","Female",1,1,1,"Quebec","NA","NA","NA"
"3","Female",1,0,1,"Ontario","Liberal Party","NA","NA"
"4","Male",1,1,1,"Ontario","Conservative Party","NA","NA"
"5","Female",0,1,1,"Ontario","NA","$50,000 to $74,999","NA"
"6","Female",1,1,1,"Ontario","Liberal Party","NA","NA"
"7","Female",0,0,0,"Ontario","NA","Less than $25,000","NA"
"8","Female",1,1,1,"Ontario","Liberal Party","NA","NA"
"9","Female",1,0,1,"Ontario","NA","NA","NA"
"10","Male",0,1,1,"Ontario","Liberal Party","NA","NA"
"11","Female",0,1,1,"Ontario","NA","NA","NA"
"12","Female",1,1,1,"Ontario","Conservative Party","NA","NA"
"13","Male",0,0,1,"Ontario","Liberal Party","NA","NA"
"14","Female",1,1,1,"Ontario","Liberal Party","$25,000 to $49,999","NA"
"15","Male",1,0,1,"Ontario","Liberal Party","Less than $25,000","NA"
"16","Female",0,1,1,"Ontario","Liberal Party","NA","NA"
"17","Female",0,0,1,"Ontario","Liberal Party","NA","NA"
"18","Female",0,0,0,"Ontario","NA","NA","NA"
"19","Female",1,0,1,"Ontario","NA","NA","NA"
"20","Female",1,1,1,"Ontario","NA","NA","NA"
"21","Female",0,1,1,"Ontario","NA","Less than $25,000","NA"
"22","Male",0,1,NA,"Ontario","Conservative Party","$50,000 to $74,999","NA"
"23","Male",1,0,1,"Ontario","Liberal Party","$125,000 and more","NA"
"24","Female",1,0,0,"Ontario","Liberal Party","NA","NA"
"25","Female",0,1,1,"Ontario","NA","NA","NA"
"26","Female",1,1,0,"Ontario","NA","NA","NA"
"27","Female",0,0,0,"Ontario","Liberal Party","$125,000 and more","NA"
"28","Female",0,0,0,"Ontario","NA","Less than $25,000","NA"
"29","Male",0,0,1,"Ontario","Liberal Party","NA","NA"
"30","Female",0,1,1,"Ontario","NA","NA","NA"
"31","Male",1,0,0,"Ontario","Liberal Party","NA","NA"
"32","Female",0,0,1,"Ontario","Liberal Party","NA","NA"
"33","Male",0,1,1,"Ontario","Conservative Party","Less than $25,000","NA"
"34","Female",1,1,1,"Ontario","Liberal Party","$25,000 to $49,999","NA"
"35","Female",1,1,1,"Ontario","NA","$25,000 to $49,999","NA"
"36","Male",0,0,1,"Ontario","Liberal Party","NA","NA"
"37","Female",1,1,1,"Ontario","Liberal Party","NA","NA"
"38","Female",0,1,0,"Ontario","NA","NA","NA"
"39","Male",1,1,1,"Ontario","Liberal Party","NA","NA"
"40","Male",0,1,1,"Ontario","Conservative Party","NA","NA"
"41","Female",1,1,1,"Ontario","NA","NA","NA"
"42","Female",1,1,1,"Ontario","NA","$50,000 to $74,999","NA"
"43","Female",1,1,1,"Ontario","Liberal Party","NA","NA"
"44","Female",0,0,1,"Ontario","Conservative Party","$50,000 to $74,999","NA"
"45","Male",1,0,1,"Ontario","Liberal Party","NA","NA"
"46","Female",0,1,1,"Ontario","Liberal Party","NA","NA"
"47","Female",1,0,0,"Ontario","Liberal Party","NA","NA"
"48","Female",0,1,1,"Ontario","NA","NA","NA"
"49","Male",1,1,1,"Ontario","NA","NA","NA"
"50","Female",1,0,1,"Ontario","NA","NA","NA"
"51","Female",0,0,0,"Ontario","NA","NA","NA"
"52","Male",1,1,1,"Ontario","Liberal Party","Less than $25,000","NA"
"53","Female",1,1,0,"Ontario","NA","NA","NA"
"54","Male",1,1,1,"Ontario","NA","NA","NA"
"55","Female",1,1,1,"Ontario","NA","NA","NA"
"56","Male",0,1,1,"Ontario","Liberal Party","NA","NA"
"57","Female",0,1,1,"Ontario","NA","NA","NA"
"58","NA",1,0,1,"Ontario","NA","NA","NA"
"59","Female",1,1,1,"Ontario","Liberal Party","$25,000 to $49,999","NA"
